Sample.Name,Core.Section,Tube.Depth,Depth.Mid,Clay,Coarse_Silt,Coarse_VC_Sand,Fine_Sand,Fine_Silt,M_Silt,Med_Sand,VFine_Sand,VFine_Silt
EML20-1B-2N-2_32-33cm,EML20-1B-2N-2,32.5,252.5,12.178515,12.99557,0.324859,12.99691,14.04487,16.92649,4.322576,17.63273,8.577477
EML20-1B-2N-2_34-35cm,EML20-1B-2N-2,34.5,254.5,11.721704,11.31548,3.206731,16.45094,9.9745,13.00244,11.119857,16.22331,6.985075
EML20-1B-2N-2_36-37cm,EML20-1B-2N-2,36.5,256.5,17.1457095,16.33818,0.05848675,2.6975329,17.63081,22.71402,0.2301232,11.84688,11.33827
EML20-1B-2N-2_38-39cm,EML20-1B-2N-2,38.5,258.5,11.7005545,16.92837,0.9679903,12.69098,10.02766,15.65395,6.116989,19.12473,6.78876
EML20-1B-2N-2_40-41cm,EML20-1B-2N-2,40.5,260.5,18.5932291,14.99706,0.4383992,3.301829,17.11333,22.1052,2.073706,9.748393,11.62887
EML20-1B-2N-2_42-43cm,EML20-1B-2N-2,42.5,262.5,16.3032168,13.7251,0.7650439,7.636232,15.03378,19.24814,5.061028,12.06545,10.16201
EML20-1B-2N-2_44-45cm,EML20-1B-2N-2,44.5,264.5,11.938406,14.10774,1.123228,12.80435,11.38384,15.43451,8.890544,16.83749,7.479872
EML20-1B-2N-2_46-47cm,EML20-1B-2N-2,46.5,266.5,9.291981,18.04682,3.203449,13.23884,7.596685,13.91488,6.717085,22.98176,5.008494
EML20-1B-2N-2_48-49cm,EML20-1B-2N-2,48.5,268.5,10.247101,10.44753,6.056102,15.97074,7.950797,11.04508,19.00872,13.52227,5.751678
,,,,,,,,,,,,
EML20-1A-1N-1-W_17-18cm,EML20-1A-1N-1,17.5,19.5,26.02149649,13.82244,0,0.002724498,19.06666,21.56145,0,4.1308027,15.39444
EML20-1A-1N-1-W_19-20cm,EML20-1A-1N-1,19.5,21.5,27.109205,12.897803,0,0,20.8445,21.85035,0,0.4192577,16.87887
EML20-1A-1N-1-W_21-22cm,EML20-1A-1N-1,21.5,23.5,26.688132,14.47865,0,0,19.84538,21.54759,0,1.244196,16.19604
EML20-1A-1N-1_23-24cm,EML20-1A-1N-1,23.5,25.5,27.71668392,10.50823,0,0.06373045,20.39531,19.10882,0,4.8405942,17.36664
EML20-1A-1N-1-W_25-26cm,EML20-1A-1N-1,25.5,27.5,3.02E+01,9.22E+00,0.00E+00,6.88E-05,2.08E+01,1.77E+01,0.00E+00,3.26E+00,1.89E+01
EML20-1A-1N-1-W_27-28cm,EML20-1A-1N-1,27.5,29.5,28.08544147,12.5903,0,0.001426688,18.59356,17.99024,0,6.0447223,16.69432
EML20-1A-1N-1-W_29-30cm,EML20-1A-1N-1,29.5,31.5,25.73033718,13.769,0,0.000226223,19.66515,20.63847,0,4.14779515,16.04903
EML20-1A-1N-1-W_31-32cm,EML20-1A-1N-1,31.5,33.5,23.217851,15.32315,0,0,19.95741,23.75491,0,2.618879,15.12778
EML20-1A-1N-1-W_33-34cm,EML20-1A-1N-1,33.5,35.5,2.73E+01,1.07E+01,0.00E+00,4.10E-04,2.13E+01,2.09E+01,0.00E+00,2.47E+00,1.73E+01
EML20-1A-1N-1-W_35-36cm,EML20-1A-1N-1,35.5,37.5,28.32259552,12.6997,0,0.001484626,19.47372,20.21682,0,3.07472262,16.21098
EML20-1B-2N-1_100-101cm,EML20-1B-2N-1,100.5,171,21.6542139,15.29208,0,0.2588182,18.62594,21.92759,0,8.217672,14.02369
EML20-1B-2N-1_102-103cm,EML20-1B-2N-1,102.5,173,21.36175499,16.38506,0,0.002846496,18.69746,24.04697,0,6.0350791,13.47081
EML20-1B-2N-1_104-105cm,EML20-1B-2N-1,104.5,175,21.90280863,16.53641,0,0.007739974,18.1633,22.79946,0,6.7961666,13.79411
EML20-1B-2N-1_106-107cm,EML20-1B-2N-1,106.5,177,13.8208731,13.69954,0.1266647,15.62132,9.94682,13.24323,3.1089265,22.83496,7.597653
EML20-1B-2N-1_108-109cm,EML20-1B-2N-1,108.5,179,22.2033653,15.85123,0,0.1367729,18.34111,22.84824,0,6.826195,13.79307
